match_id,requirement_id,talent_id,role_eligible,mandatory_skills_met,full_contract_availability_met,audition_met,physical_technical_eligible,mobility_work_authorization_eligible,safety_certification_eligible,medical_clearance_eligible,language_eligible,overnight_rehearsal_eligible,profile_active,verification_eligible,budget_eligible,experience_eligible,rating_eligible,skill_score,production_credit_score,availability_score,audition_showreel_score,physical_technical_score,mobility_score,reliability_score,safety_compliance_score,budget_score,language_cultural_score,final_match_score,eligibility_status,match_category,positive_match_reasons,risk_factors,rejection_reason,distance_km,audition_score,recommended,recommendation_rank,ground_truth_label
MAT-000001,REQ-0001,TAL-0019,True,False,False,True,True,True,True,True,False,True,True,True,True,True,True,19.5,23.0,48.57,85.45,100.0,92.0,78.72,96.0,86.81,40.0,55.23,Not Eligible,Not Eligible,Eligible for the required Musician discipline|Meets audition and showreel thresholds|Meets physical and technical suitability requirements|Travel and work eligibility is feasible for UAE|Required safety credentials and medical clearance are satisfied,,Missing mandatory production skill; Not fully available for the contract window; Required language not supported,4966.2,84.2,False,,Hard Rejection
MAT-000002,REQ-0001,TAL-0302,True,False,False,True,True,True,True,True,False,True,True,True,True,True,True,0.0,23.0,77.14,87.81,100.0,76.0,77.85,96.0,91.67,40.0,53.68,Not Eligible,Not Eligible,Eligible for the required Musician discipline|Meets audition and showreel thresholds|Meets physical and technical suitability requirements|Travel and work eligibility is feasible for UAE|Required safety credentials and medical clearance are satisfied,Historical cancellation rate is above the preferred threshold,Missing mandatory production skill; Not fully available for the contract window; Required language not supported,11690.8,89.66,False,,Hard Rejection
MAT-000003,REQ-0001,TAL-0405,True,False,False,True,True,True,True,True,False,True,True,True,True,True,True,58.5,63.0,91.43,94.77,100.0,92.0,92.76,96.0,84.03,40.0,79.24,Not Eligible,Not Eligible,Eligible for the required Musician discipline|Meets audition and showreel thresholds|Meets physical and technical suitability requirements|Travel and work eligibility is feasible for UAE|Required safety credentials and medical clearance are satisfied,,Missing mandatory production skill; Not fully available for the contract window; Required language not supported,10626.8,92.25,False,,Hard Rejection
MAT-000004,REQ-0001,TAL-0073,True,False,False,True,True,True,True,True,False,True,True,True,True,True,True,0.0,23.0,65.0,82.77,100.0,92.0,66.96,96.0,81.94,40.0,51.58,Not Eligible,Not Eligible,Eligible for the required Musician discipline|Meets audition and showreel thresholds|Meets physical and technical suitability requirements|Travel and work eligibility is feasible for UAE|Required safety credentials and medical clearance are satisfied,,Missing mandatory production skill; Not fully available for the contract window; Required language not supported,4636.1,85.34,False,,Hard Rejection
MAT-000005,REQ-0001,TAL-0045,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,0.0,63.0,100.0,98.46,100.0,92.0,92.76,96.0,80.56,40.0,66.17,Not Eligible,Not Eligible,Eligible for the required Musician discipline|Available for the complete rehearsal and performance contract window|Meets audition and showreel thresholds|Meets physical and technical suitability requirements|Travel and work eligibility is feasible for UAE|Required safety credentials and medical clearance are satisfied,,Missing mandatory production skill; Required language not supported,5164.8,96.79,False,,Hard Rejection
MAT-000006,REQ-0001,TAL-0229,True,False,False,True,True,True,True,True,False,True,True,True,True,True,True,41.5,23.0,65.0,91.65,100.0,92.0,77.09,77.45,76.39,40.0,62.46,Not Eligible,Not Eligible,Eligible for the required Musician discipline|Meets audition and showreel thresholds|Meets physical and technical suitability requirements|Travel and work eligibility is feasible for UAE|Required safety credentials and medical clearance are satisfied,Weekly rate is close to the maximum production budget,Missing mandatory production skill; Not fully available for the contract window; Required language not supported,7521.3,82.61,False,,Hard Rejection
MAT-000007,REQ-0001,TAL-0304,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,100.0,98.0,100.0,84.13,100.0,76.0,72.71,94.3,82.64,100.0,93.48,Not Eligible,Not Eligible,Eligible for the required Musician discipline|Meets all mandatory production skills|Available for the complete rehearsal and performance contract window|Relevant history across 12 completed productions|Meets physical and technical suitability requirements|Travel and work eligibility is feasible for UAE,Historical cancellation rate is above the preferred threshold,Audition or showreel threshold not met,1999.8,79.29,False,,Hard Rejection
MAT-000008,REQ-0001,TAL-0439,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0,63.0,100.0,90.5,100.0,76.0,90.48,88.35,90.97,100.0,65.06,Not Eligible,Not Eligible,Eligible for the required Musician discipline|Available for the complete rehearsal and performance contract window|Meets audition and showreel thresholds|Meets physical and technical suitability requirements|Travel and work eligibility is feasible for UAE|Required safety credentials and medical clearance are satisfied,,Missing mandatory production skill,12457.3,94.07,False,,Hard Rejection
MAT-000009,REQ-0001,TAL-0382,True,False,False,True,True,True,True,True,False,True,True,True,False,True,True,0.0,23.0,97.14,84.12,100.0,76.0,78.72,96.0,14.48,40.0,54.06,Not Eligible,Not Eligible,Eligible for the required Musician discipline|Meets audition and showreel thresholds|Meets physical and technical suitability requirements|Travel and work eligibility is feasible for UAE|Required safety credentials and medical clearance are satisfied,Weekly rate exceeds the maximum production budget,Missing mandatory production skill; Not fully available for the contract window; Required language not supported,4636.1,84.58,False,,Hard Rejection
MAT-000010,REQ-0001,TAL-0038,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,0.0,23.0,100.0,95.79,100.0,100.0,78.72,96.0,65.17,100.0,60.29,Not Eligible,Not Eligible,Eligible for the required Musician discipline|Available for the complete rehearsal and performance contract window|Meets audition and showreel thresholds|Meets physical and technical suitability requirements|Travel and work eligibility is feasible for UAE|Required safety credentials and medical clearance are satisfied,Weekly rate exceeds the maximum production budget,Missing mandatory production skill,0.0,98.27,False,,Hard Rejection
