requirement_id,production_id,production_title,production_type,fictional_client_id,required_category,required_primary_role,acceptable_secondary_roles,mandatory_skills,preferred_skills,city,country,latitude,longitude,venue_type,rehearsal_start_date,rehearsal_end_date,technical_rehearsal_start_date,technical_rehearsal_end_date,performance_start_date,performance_end_date,number_of_performances,contract_duration_days,talent_required,ensemble_or_solo,minimum_experience_years,minimum_director_rating,minimum_showreel_score,minimum_audition_score,physical_skill_requirement,aquatic_experience_required,aerial_experience_required,stunt_experience_required,required_safety_certifications,medical_clearance_required,audition_required,passport_validity_months_required,visa_sponsorship_available,required_languages,overnight_rehearsal_required,weekly_budget_min_usd,weekly_budget_max_usd,travel_provided,accommodation_provided,per_diem_usd,production_risk_level,urgency_level,booking_created_date,application_deadline,special_instructions,requirement_status
REQ-0001,PROD-0001,Total needs-based conglomeration Experience,Outdoor Multimedia Spectacle,CLI-0029,Performer,Musician,Dancer|Aerial Artist,Instrument Maintenance|Live Performance|Sight Reading|Ensemble Performance,Improvisation,Abu Dhabi,UAE,24.4539,54.3773,Theme Park,2026-10-04,2026-10-16,2026-10-15,2026-10-16,2026-10-17,2026-11-07,44,35,1,Ensemble,3.4,4.0,71.1,81.1,Standard,False,False,False,,False,True,6,True,English|Hindi,True,2550.0,4350.0,True,True,65.0,Medium,Critical,2026-07-03,2026-07-11,International travel documents must be ready before contracting.,Shortlisting
REQ-0002,PROD-0002,Reverse-engineered radical knowledgebase Parade,Themed Entertainment Spectacle,CLI-0039,Performer,Dancer,,Bollywood Dance|Ensemble Choreography,Ballet,Jeddah,Saudi Arabia,21.4858,39.1925,Hotel Immersive Venue,2026-09-10,2026-09-22,2026-09-20,2026-09-22,2026-09-23,2026-10-14,42,35,40,Featured,6.9,4.2,68.0,0.0,Athletic,False,False,False,,False,False,6,True,English|Arabic,False,2150.0,3750.0,True,True,45.0,Medium,Standard,2026-07-11,2026-07-27,Role requires cross-department collaboration during technical integration.,Open
REQ-0003,PROD-0003,Self-enabling value-added productivity Ceremony,Integrated Resort Show,CLI-0049,Technical,Lighting Programmer,,Networked Lighting|Fixture Management|GrandMA Programming,Timecode Programming|Troubleshooting|Moving Lights,Macau,Macau,22.1987,113.5439,Stadium,2026-12-16,2027-01-02,2026-12-31,2027-01-02,2027-01-03,2027-01-19,51,35,6,Ensemble,5.5,4.2,0.0,0.0,Standard,False,False,False,,False,False,9,True,English|Arabic,True,3500.0,5950.0,True,True,115.0,Medium,Standard,2026-07-16,2026-08-11,Candidate must attend all rehearsals and technical calls.,Auditioning
REQ-0004,PROD-0004,Re-contextualized intermediate moderator Experience,Urban Mega-Celebration,CLI-0077,Performer,Musician,,Live Performance|Instrument Maintenance,Night Rehearsals,Abu Dhabi,UAE,24.4539,54.3773,Parade Route,2026-11-29,2026-12-05,2026-12-01,2026-12-05,2026-12-06,2026-12-12,2,14,1,Featured,5.5,3.8,55.2,68.6,Athletic,False,False,False,,False,True,9,True,English,False,2750.0,5550.0,True,True,115.0,High,Standard,2026-07-12,2026-08-10,Candidate must attend all rehearsals and technical calls.,Shortlisting
REQ-0005,PROD-0005,Sharable scalable monitoring Spectacle,Opening Ceremony,CLI-0032,Creative,Choreographer,,Aerial Choreography|Creative Documentation|Aquatic Choreography,Rehearsal Planning|Movement Direction|Large Ensemble Choreography,Macau,Macau,22.1987,113.5439,Parade Route,2026-12-25,2027-01-07,2027-01-05,2027-01-07,2027-01-08,2027-01-21,35,28,20,Ensemble,9.8,4.0,72.5,73.3,Standard,False,False,False,First Aid,False,True,12,True,English,False,4200.0,4450.0,True,True,95.0,Medium,Critical,2026-07-03,2026-07-19,Production includes complex cueing and strict safety briefings.,Open
REQ-0006,PROD-0006,Integrated grid-enabled matrices Spectacle,Experiential Dining Show,CLI-0023,Creative,Sound Designer,Costume Designer|Lighting Designer,Wireless Coordination|Timecode|Playback Systems|Show Control,System Design|Acoustic Planning|Sound Design,Jeddah,Saudi Arabia,21.4858,39.1925,Theme Park,2026-10-04,2026-10-12,2026-10-06,2026-10-12,2026-10-13,2026-10-24,38,21,1,Featured,7.7,4.0,79.5,84.1,Standard,False,True,False,,False,True,9,True,English,False,4700.0,9000.0,False,True,110.0,High,Critical,2026-07-10,2026-07-17,Production includes complex cueing and strict safety briefings.,Open
REQ-0007,PROD-0007,Quality-focused discrete workforce Experience,Touring Arena Production,CLI-0016,Performer,Acrobatic Performer,Aerial Artist|Dancer,Acrobatic Partnering|Chinese Pole,Teeterboard,Jeddah,Saudi Arabia,21.4858,39.1925,Parade Route,2026-09-27,2026-10-16,2026-10-15,2026-10-16,2026-10-17,2026-11-07,36,42,2,Ensemble,9.7,4.2,66.9,86.2,Athletic,False,False,False,,True,True,9,True,English|Arabic,False,2350.0,3800.0,True,True,35.0,High,High,2026-07-16,2026-07-22,Strong ensemble discipline and rapid response to creative notes required.,Auditioning
REQ-0008,PROD-0008,Cross-group leadingedge function Resident Show,Immersive Theatre,CLI-0075,Performer,Musician,Vocalist|Dancer,In-Ear Monitoring|Live Performance|Sight Reading|Night Rehearsals,Instrument Maintenance|Ensemble Performance|Click Track,Riyadh,Saudi Arabia,24.7136,46.6753,Theme Park,2027-01-01,2027-01-05,2027-01-04,2027-01-05,2027-01-06,2027-01-14,9,14,1,Featured,8.8,4.0,55.8,76.4,Standard,False,False,False,,False,True,6,True,English,False,2600.0,4750.0,True,True,85.0,Low,High,2026-07-06,2026-07-14,Candidate must attend all rehearsals and technical calls.,Open
REQ-0009,PROD-0009,Multi-lateral incremental firmware Resident Show,Cultural Landmark Ceremony,CLI-0029,Performer,Musician,Dancer|Character Performer,Sight Reading|Click Track|Instrument Maintenance,Night Rehearsals|Improvisation|Live Performance,Singapore,Singapore,1.3521,103.8198,Integrated Resort Theatre,2026-12-10,2027-01-04,2027-01-02,2027-01-04,2027-01-05,2027-02-03,36,56,10,Ensemble,4.8,0.0,59.0,67.4,Athletic,False,False,False,,False,True,9,True,English,False,3150.0,5650.0,True,True,125.0,Medium,Standard,2026-07-14,2026-08-14,Candidate must attend all rehearsals and technical calls.,Open
REQ-0010,PROD-0010,Distributed exuding access Resident Show,Themed Entertainment Spectacle,CLI-0076,Performer,Aerial Artist,Character Performer|Acrobatic Performer,Bungee Choreography|Flying Harness|Aerial Hoop|Aerial Silks,Aerial Conditioning|Cue Precision,Jeddah,Saudi Arabia,21.4858,39.1925,Water Stage,2026-08-13,2026-09-16,2026-09-12,2026-09-16,2026-09-17,2026-11-10,88,90,4,Ensemble,9.9,0.0,86.4,81.8,Standard,False,True,False,Working at Height,True,True,9,True,English,False,2250.0,4450.0,True,True,40.0,High,Standard,2026-07-13,2026-07-23,Night rehearsals may be scheduled to protect the creative reveal.,Open
REQ-0011,PROD-0011,Adaptive multi-state task-force Resident Show,Themed Entertainment Spectacle,CLI-0076,Performer,Acrobatic Performer,Puppeteer|Aerial Artist,Chinese Pole|Safety Spotting|Teeterboard|Hand Balancing,Harness Work,Paris,France,48.8566,2.3522,Purpose-Built Theatre,2026-08-30,2026-09-08,2026-09-05,2026-09-08,2026-09-09,2026-09-26,32,28,1,Featured,9.4,4.2,82.9,0.0,Standard,False,False,False,First Aid,True,False,6,False,English|French,True,2650.0,5450.0,True,True,70.0,High,High,2026-07-14,2026-08-05,Production includes complex cueing and strict safety briefings.,Open
REQ-0012,PROD-0012,Devolved grid-enabled forecast Parade,Large-Scale Parade,CLI-0025,Production & Operations,Stage Manager,Safety Manager,Show Calling|Incident Reporting,Cast Coordination,Hong Kong,Hong Kong,22.3193,114.1694,Purpose-Built Theatre,2027-01-03,2027-01-16,2027-01-14,2027-01-16,2027-01-17,2027-01-30,18,28,20,Ensemble,7.1,4.4,0.0,0.0,Standard,False,True,False,,False,False,6,True,English,True,2500.0,3900.0,True,False,60.0,High,High,2026-07-06,2026-07-31,International travel documents must be ready before contracting.,Auditioning
REQ-0013,PROD-0013,Phased national access Ceremony,Experiential Dining Show,CLI-0035,Creative,Costume Designer,,Quick-Change Planning|Fabric Selection|Costume Design,Design Documentation,New York,United States,40.7128,-74.006,Heritage Site,2026-10-03,2026-10-13,2026-10-11,2026-10-13,2026-10-14,2026-10-30,6,28,2,Ensemble,10.8,3.8,69.3,61.6,Standard,False,False,False,,False,True,12,False,English,True,2850.0,4700.0,True,True,90.0,Medium,High,2026-07-08,2026-07-25,Night rehearsals may be scheduled to protect the creative reveal.,Shortlisting
REQ-0014,PROD-0014,Team-oriented mobile system engine Ceremony,Outdoor Multimedia Spectacle,CLI-0037,Production & Operations,Production Manager,Safety Manager,Master Scheduling|Risk Management|Production Management|Budget Control,Supplier Management|Client Reporting,Melbourne,Australia,-37.8136,144.9631,Purpose-Built Theatre,2026-11-08,2026-11-22,2026-11-20,2026-11-22,2026-11-23,2026-12-12,6,35,6,Ensemble,8.1,4.6,0.0,0.0,Standard,False,False,False,,False,False,12,True,English,False,4150.0,7500.0,False,True,70.0,Medium,Critical,2026-07-13,2026-07-28,Night rehearsals may be scheduled to protect the creative reveal.,Auditioning
REQ-0015,PROD-0015,Polarized exuding access Parade,Outdoor Multimedia Spectacle,CLI-0016,Performer,Dancer,,Commercial Dance|Character Movement,Ensemble Choreography,Paris,France,48.8566,2.3522,Heritage Site,2026-09-30,2026-10-06,2026-10-05,2026-10-06,2026-10-07,2026-10-13,21,14,4,Ensemble,6.0,4.2,74.2,85.0,Athletic,False,False,False,,False,True,9,True,English,True,3400.0,6000.0,False,True,75.0,Medium,Critical,2026-07-01,2026-07-07,Role requires cross-department collaboration during technical integration.,Open
REQ-0016,PROD-0016,Visionary intermediate website Experience,Themed Entertainment Spectacle,CLI-0045,Technical,Automation Technician,SFX Technician,Stage Automation|Motion Control|Preventive Maintenance,Cue Programming|Hydraulic Integration,Las Vegas,United States,36.1699,-115.1398,Water Stage,2026-08-07,2026-08-25,2026-08-24,2026-08-25,2026-08-26,2026-09-10,29,35,6,Ensemble,11.1,4.2,0.0,0.0,Standard,False,False,False,,False,False,9,True,English,False,3950.0,6500.0,True,True,130.0,Medium,Standard,2026-07-09,2026-08-04,International travel documents must be ready before contracting.,Auditioning
REQ-0017,PROD-0017,Implemented radical emulation Experience,Outdoor Multimedia Spectacle,CLI-0024,Technical,SFX Technician,,Show Control|Confetti Systems,Water Effects|Risk Assessment,Orlando,United States,28.5383,-81.3792,Heritage Site,2026-10-22,2026-10-26,2026-10-22,2026-10-26,2026-10-27,2026-11-04,23,14,1,Featured,6.8,3.8,0.0,0.0,Standard,False,False,False,,False,False,12,True,English,False,3100.0,5800.0,True,True,85.0,Medium,Standard,2026-07-08,2026-07-29,Role requires cross-department collaboration during technical integration.,Shortlisting
REQ-0018,PROD-0018,Adaptive neutral hub Parade,Cultural Landmark Ceremony,CLI-0062,Production & Operations,Production Manager,Stage Manager,Contract Administration|Supplier Management,Risk Management|Budget Control|Client Reporting,Jeddah,Saudi Arabia,21.4858,39.1925,Arena,2026-08-06,2026-08-21,2026-08-17,2026-08-21,2026-08-22,2026-09-09,57,35,1,Featured,4.6,0.0,0.0,0.0,Standard,False,False,False,,False,False,18,True,English,False,5000.0,5700.0,True,True,45.0,Medium,Critical,2026-07-02,2026-07-29,Production includes complex cueing and strict safety briefings.,Auditioning
REQ-0019,PROD-0019,Ergonomic incremental open architecture Parade,Urban Mega-Celebration,CLI-0002,Technical,Pyrotechnics Technician,Audio Engineer|Lighting Programmer,Firing Systems|Explosive Safety,Weather Monitoring|Misfire Procedures|Pyrotechnics,Abu Dhabi,UAE,24.4539,54.3773,Hotel Immersive Venue,2026-09-04,2026-09-07,2026-09-04,2026-09-07,2026-09-08,2026-09-13,17,10,6,Ensemble,12.2,4.0,0.0,0.0,Standard,False,False,False,Licensed Pyrotechnician,False,False,9,True,English|Arabic,False,6000.0,10550.0,True,False,60.0,High,Standard,2026-07-02,2026-07-10,Night rehearsals may be scheduled to protect the creative reveal.,Shortlisting
REQ-0020,PROD-0020,Optional hybrid encryption Spectacle,Large-Scale Parade,CLI-0021,Creative,Choreographer,,Movement Direction|Parade Choreography,Rehearsal Planning|Aquatic Choreography,Macau,Macau,22.1987,113.5439,Parade Route,2026-11-04,2026-11-08,2026-11-07,2026-11-08,2026-11-09,2026-11-17,10,14,1,Solo,6.7,4.2,86.4,68.8,Standard,False,False,False,,False,True,12,True,English,False,4000.0,8650.0,True,True,85.0,Medium,Standard,2026-07-02,2026-07-30,Candidate must attend all rehearsals and technical calls.,Shortlisting
REQ-0021,PROD-0021,Diverse transitional support Spectacle,Experiential Dining Show,CLI-0030,Creative,Lighting Designer,,Lighting Design|Show Control,Architectural Lighting,Dubai,UAE,25.2048,55.2708,Parade Route,2026-12-26,2027-01-09,2027-01-07,2027-01-09,2027-01-10,2027-01-29,9,35,6,Ensemble,6.8,3.8,66.3,79.5,Standard,False,False,False,,False,True,6,True,English,False,6600.0,7900.0,True,True,130.0,High,High,2026-07-03,2026-07-14,Night rehearsals may be scheduled to protect the creative reveal.,Open
