credit_id,talent_id,fictional_client_id,production_title,production_type,role,start_date,end_date,city,country,contract_status,number_of_performances,contract_value_usd,rehearsal_attendance_rate,director_rating,technical_readiness_score,safety_compliance_score,incident_recorded,incident_severity,rehire_eligible,early_termination_party,early_termination_reason,skills_used,director_feedback
CRD-00001,TAL-0379,CLI-0128,Progressive high-level infrastructure Ceremony,Urban Mega-Celebration,Vocalist,2025-07-05,2025-11-05,New York,United States,Completed,12,70829.15,0.9144,4.62,98.0,100.0,False,None,False,,,In-Ear Monitoring|Vocal Endurance|Ensemble Performance,Strong rehearsal discipline and dependable show execution.
CRD-00002,TAL-0121,CLI-0110,Intuitive solution-oriented focus group Experience,Resident Aquatic Show,Water Stage Technician,2024-08-18,2025-01-03,Berlin,Germany,Completed,149,61923.04,0.9341,4.45,74.2,99.6,False,None,True,,,PLC Systems|Rescue Procedures,Performance met expectations with minor consistency notes.
CRD-00003,TAL-0351,CLI-0136,Fully-configurable bifurcated algorithm Ceremony,Opening Ceremony,Pyrotechnics Technician,2024-02-24,2024-03-03,Orlando,United States,Completed,17,8549.64,0.9442,5.0,90.5,100.0,False,None,True,,,Authority Coordination|Cue Programming|Weather Monitoring,Strong rehearsal discipline and dependable show execution.
CRD-00004,TAL-0321,CLI-0087,User-centric contextually-based methodology Show,Resident Aquatic Show,High Diver,2023-09-20,2023-10-15,Tokyo,Japan,Completed,99,19513.8,0.962,4.21,79.5,94.1,False,None,True,,,High Diving|Dive Choreography,Performance met expectations with minor consistency notes.
CRD-00005,TAL-0332,CLI-0019,Programmable human-resource open architecture Spectacle,Outdoor Multimedia Spectacle,Projection Designer,2025-03-05,2025-08-17,Toronto,Canada,Completed,6,103784.19,0.928,3.62,79.4,100.0,False,None,False,,,Design Documentation|Character Design|Media Servers,Adapted quickly to creative notes and technical changes.
CRD-00006,TAL-0268,CLI-0022,Decentralized empowering time-frame Spectacle,Cultural Landmark Ceremony,Composer,2023-12-16,2024-02-22,Buenos Aires,Argentina,Completed,1,57041.87,0.937,4.68,95.2,94.9,False,None,True,,,Original Composition|Music Editing|Recording Supervision|Arrangement,Strong rehearsal discipline and dependable show execution.
CRD-00007,TAL-0285,CLI-0156,Fundamental tertiary knowledge user Show,Large-Scale Parade,Puppeteer,2023-06-09,2023-09-08,London,United Kingdom,Completed,16,61285.29,1.0,4.54,82.4,100.0,False,None,True,,,Prop Handling|Character Interpretation|Show Cueing,Performance met expectations with minor consistency notes.
CRD-00008,TAL-0152,CLI-0156,Extended reciprocal forecast Show,Themed Entertainment Spectacle,Aerial Artist,2024-08-05,2025-01-02,Cape Town,South Africa,Completed,19,88567.76,0.9324,4.34,87.0,99.4,False,None,False,,,Bungee Choreography|Flying Harness|Height Safety|Cue Precision|Aerial Silks,Performance met expectations with minor consistency notes.
CRD-00009,TAL-0292,CLI-0087,Team-oriented mobile customer loyalty Show,Urban Mega-Celebration,Strap Artist,2026-02-20,2026-03-27,Bangkok,Thailand,Completed,2,15051.07,0.9607,4.57,71.4,98.2,False,None,False,,,Height Safety|Aerial Straps|Dynamic Drops,Technically capable but required additional rehearsal support.
CRD-00010,TAL-0153,CLI-0136,Decentralized client-driven archive Show,Resident Aquatic Show,High Diver,2024-04-06,2024-04-16,Paris,France,Completed,147,13568.36,0.9536,4.25,96.1,91.2,False,None,True,,,Safety Briefings|Breath Control,Performance met expectations with minor consistency notes.
CRD-00011,TAL-0490,CLI-0101,Organized context-sensitive structure Parade,Large-Scale Parade,BMX Rider,2026-02-09,2026-03-13,Riyadh,Saudi Arabia,Completed,18,11564.52,0.9728,3.97,100.0,91.5,False,None,False,,,Risk Assessment|Precision Riding|Jump Sequences|Choreographed Riding,Performance met expectations with minor consistency notes.
CRD-00012,TAL-0298,CLI-0101,Organic background workforce Ceremony,Large-Scale Parade,Puppeteer,2024-10-01,2025-01-09,Cape Town,South Africa,Completed,20,55109.27,0.951,4.5,88.2,88.8,False,None,True,,,Rod Puppetry|Ensemble Puppetry|Acrobatic Partnering|Character Interpretation|Large-Scale Puppetry|Ensemble Timing,High-quality contribution with positive ensemble behaviour.
CRD-00013,TAL-0011,CLI-0068,Synergized foreground secured line Ceremony,Opening Ceremony,Choreographer,2025-06-11,2025-08-28,Toronto,Canada,Completed,1,51159.96,0.9452,4.55,92.9,95.3,False,None,True,,,System Design|Rehearsal Planning,Reliable under pressure and recommended for future productions.
CRD-00014,TAL-0031,CLI-0109,Monitored tertiary architecture Spectacle,Large-Scale Parade,Dancer,2025-01-03,2025-07-11,Johannesburg,South Africa,Completed with Notes,15,143765.19,0.9858,4.61,87.2,94.1,False,None,True,,,Jazz Dance|Bollywood Dance|Character Movement,High-quality contribution with positive ensemble behaviour.
CRD-00015,TAL-0498,CLI-0033,Reactive needs-based frame Ceremony,Experiential Dining Show,Strap Artist,2022-02-17,2022-07-12,Sydney,Australia,Completed,10,104924.14,0.966,4.71,92.9,93.8,False,None,True,,,Partner Straps|Flying Systems|Rigging Awareness|Height Safety,Technically capable but required additional rehearsal support.
CRD-00016,TAL-0183,CLI-0159,Innovative cohesive structure Parade,Large-Scale Parade,Parkour Artist,2023-04-19,2023-09-13,Manila,Philippines,Completed,3,82487.65,0.9303,4.92,89.1,94.9,False,None,False,,,Freerunning|Parkour|Urban Choreography,Adapted quickly to creative notes and technical changes.
CRD-00017,TAL-0258,CLI-0101,Triple-buffered tangible productivity Spectacle,Urban Mega-Celebration,Rigger,2023-09-08,2024-01-25,Melbourne,Australia,Completed with Notes,13,110227.94,0.965,4.54,87.6,96.6,False,None,False,,,Pyrotechnics|Temporary Structures,Technically capable but required additional rehearsal support.
CRD-00018,TAL-0131,CLI-0128,Enhanced high-level migration Parade,Urban Mega-Celebration,Dancer,2023-05-14,2023-10-19,Amsterdam,Netherlands,Completed,19,73126.45,0.9259,3.99,92.9,98.6,False,None,False,,,Partnering|Night Rehearsals|Costume Endurance|Physical Theatre|Mask Performance,Strong rehearsal discipline and dependable show execution.
CRD-00019,TAL-0094,CLI-0114,Face-to-face bottom-line customer loyalty Show,Urban Mega-Celebration,Tightrope Walker,2024-02-14,2024-05-13,Toronto,Canada,Completed with Notes,19,67825.33,0.9472,5.0,92.8,98.8,False,None,True,,,Tightrope|Height Rescue Familiarity|Wind Assessment|Breath Control,Technically capable but required additional rehearsal support.
CRD-00020,TAL-0448,CLI-0083,Devolved disintermediate utilization Spectacle,Resident Aquatic Show,Rigger,2022-04-18,2022-09-07,Manila,Philippines,Completed with Notes,140,93832.75,0.9781,4.29,100.0,94.8,False,None,True,,,Temporary Structures|Aerial Rigging,Technically capable but required additional rehearsal support.
CRD-00021,TAL-0402,CLI-0024,Proactive 4thgeneration hierarchy Show,Resident Aquatic Show,Aquatic Performer,2024-11-24,2025-02-19,Buenos Aires,Argentina,Completed with Notes,58,78020.74,0.9856,4.68,89.1,93.2,False,None,True,,,Trampoline|Wall Trampoline|Landing Technique,Reliable under pressure and recommended for future productions.
