audition_id,requirement_id,talent_id,audition_date,audition_format,technical_score,artistic_score,response_to_direction_score,safety_awareness_score,panel_score,audition_outcome,panel_notes
AUD-000001,REQ-0001,TAL-0019,2026-07-11,In Person,74.7,93.5,87.0,81.1,84.2,Pass,Strong fit for the production vocabulary.
AUD-000002,REQ-0001,TAL-0302,2026-07-10,Live Video,100.0,89.9,61.8,99.8,89.66,Pass,Further assessment recommended before final casting.
AUD-000003,REQ-0001,TAL-0405,2026-07-07,In Person,100.0,91.5,87.8,81.0,92.25,Pass,Further assessment recommended before final casting.
AUD-000004,REQ-0001,TAL-0073,2026-07-07,Self-Tape,87.1,77.6,85.7,99.4,85.34,Pass,Strong fit for the production vocabulary.
AUD-000005,REQ-0001,TAL-0045,2026-07-10,Live Video,100.0,92.7,100.0,94.8,96.79,Pass,Does not yet meet the production-specific performance threshold.
AUD-000006,REQ-0001,TAL-0229,2026-07-09,Self-Tape,92.8,76.0,81.7,75.1,82.61,Pass,Does not yet meet the production-specific performance threshold.
AUD-000007,REQ-0001,TAL-0304,2026-07-10,Technical Assessment,77.0,83.6,77.0,77.3,79.29,Hold,Strong fit for the production vocabulary.
AUD-000008,REQ-0001,TAL-0439,2026-07-11,Self-Tape,100.0,85.9,100.0,91.9,94.07,Pass,Good ensemble awareness and reliable preparation.
AUD-000009,REQ-0001,TAL-0382,2026-07-11,Self-Tape,95.1,85.1,74.5,70.7,84.58,Pass,Technically capable with minor coaching needs.
AUD-000010,REQ-0001,TAL-0038,2026-07-11,In Person,100.0,100.0,99.5,88.3,98.27,Pass,Further assessment recommended before final casting.
AUD-000011,REQ-0001,TAL-0274,2026-07-11,In Person,86.4,83.8,78.9,88.5,84.46,Pass,Good ensemble awareness and reliable preparation.
AUD-000012,REQ-0001,TAL-0162,2026-07-10,In Person,81.5,84.8,72.0,25.0,73.0,Fail,Further assessment recommended before final casting.
AUD-000013,REQ-0001,TAL-0005,2026-07-09,Self-Tape,91.7,79.1,88.7,92.7,87.02,Pass,Technically capable with minor coaching needs.
AUD-000014,REQ-0001,TAL-0393,2026-07-09,Self-Tape,76.9,75.1,54.2,84.0,73.2,Hold,Technically capable with minor coaching needs.
AUD-000015,REQ-0001,TAL-0059,2026-07-08,Self-Tape,96.5,97.7,98.6,96.4,97.27,Pass,Further assessment recommended before final casting.
AUD-000016,REQ-0001,TAL-0031,2026-07-09,In Person,82.8,100.0,83.2,94.1,90.3,Pass,Strong fit for the production vocabulary.
AUD-000017,REQ-0001,TAL-0013,2026-07-10,In Person,79.0,82.3,100.0,98.2,86.59,Pass,Further assessment recommended before final casting.
AUD-000018,REQ-0001,TAL-0378,2026-07-11,Live Video,93.7,97.2,90.3,84.2,92.95,Pass,Good ensemble awareness and reliable preparation.
AUD-000019,REQ-0001,TAL-0225,2026-07-08,In Person,95.5,95.8,56.8,89.4,87.78,Pass,Strong fit for the production vocabulary.
AUD-000020,REQ-0001,TAL-0473,2026-07-07,Live Video,71.7,75.1,93.2,94.9,79.97,Hold,Does not yet meet the production-specific performance threshold.
AUD-000021,REQ-0001,TAL-0055,2026-07-08,Technical Assessment,64.3,89.2,81.3,25.0,70.32,Fail,Good ensemble awareness and reliable preparation.
AUD-000022,REQ-0001,TAL-0111,2026-07-11,In Person,70.4,89.8,98.1,89.3,84.63,Pass,Further assessment recommended before final casting.
AUD-000023,REQ-0001,TAL-0471,2026-07-11,In Person,74.4,100.0,68.7,81.3,83.04,Pass,Does not yet meet the production-specific performance threshold.
AUD-000024,REQ-0001,TAL-0189,2026-07-11,In Person,93.1,89.2,95.8,25.0,82.73,Pass,Does not yet meet the production-specific performance threshold.
AUD-000025,REQ-0001,TAL-0445,2026-07-11,In Person,72.6,92.9,94.1,84.3,85.01,Pass,Does not yet meet the production-specific performance threshold.
AUD-000026,REQ-0001,TAL-0231,2026-07-10,Live Video,94.8,85.2,90.5,75.8,88.1,Pass,Further assessment recommended before final casting.
AUD-000027,REQ-0001,TAL-0416,2026-07-08,Self-Tape,83.0,85.7,78.7,86.8,83.68,Pass,Good ensemble awareness and reliable preparation.
AUD-000028,REQ-0001,TAL-0384,2026-07-11,Live Video,100.0,99.7,80.7,58.0,90.54,Pass,Does not yet meet the production-specific performance threshold.
AUD-000029,REQ-0001,TAL-0037,2026-07-09,Technical Assessment,91.5,90.6,57.2,93.6,85.31,Pass,Good ensemble awareness and reliable preparation.
AUD-000030,REQ-0001,TAL-0270,2026-07-11,Technical Assessment,86.6,86.9,93.5,90.6,88.5,Pass,Technically capable with minor coaching needs.
AUD-000031,REQ-0001,TAL-0152,2026-07-11,Technical Assessment,74.1,95.0,70.0,42.6,76.06,Hold,Good ensemble awareness and reliable preparation.
AUD-000032,REQ-0001,TAL-0098,2026-07-08,In Person,89.1,100.0,86.0,99.1,93.65,Pass,Does not yet meet the production-specific performance threshold.
AUD-000033,REQ-0001,TAL-0064,2026-07-07,Live Video,78.5,83.4,82.4,71.1,79.83,Hold,Strong fit for the production vocabulary.
AUD-000034,REQ-0001,TAL-0459,2026-07-07,Technical Assessment,98.1,84.3,82.6,83.4,88.56,Pass,Does not yet meet the production-specific performance threshold.
AUD-000035,REQ-0001,TAL-0168,2026-07-11,Live Video,82.1,98.3,100.0,76.7,90.07,Pass,Technically capable with minor coaching needs.
AUD-000036,REQ-0001,TAL-0161,2026-07-11,In Person,82.0,90.6,65.6,84.7,82.35,Pass,Strong fit for the production vocabulary.
AUD-000037,REQ-0001,TAL-0487,2026-07-11,In Person,88.0,87.6,73.5,71.9,83.0,Pass,Does not yet meet the production-specific performance threshold.
AUD-000038,REQ-0001,TAL-0256,2026-07-08,Self-Tape,74.8,79.7,100.0,73.3,80.79,Hold,Technically capable with minor coaching needs.
AUD-000039,REQ-0001,TAL-0217,2026-07-10,In Person,70.8,87.4,97.6,89.8,83.93,Pass,Further assessment recommended before final casting.
AUD-000040,REQ-0001,TAL-0444,2026-07-08,Self-Tape,88.4,93.7,75.1,96.8,88.98,Pass,Strong fit for the production vocabulary.
AUD-000041,REQ-0001,TAL-0074,2026-07-08,Self-Tape,73.5,86.7,77.8,82.5,80.02,Hold,Technically capable with minor coaching needs.
AUD-000042,REQ-0001,TAL-0032,2026-07-07,In Person,93.8,100.0,82.3,84.4,92.52,Pass,Further assessment recommended before final casting.
AUD-000043,REQ-0001,TAL-0491,2026-07-11,Live Video,92.3,80.6,76.8,79.9,83.8,Pass,Technically capable with minor coaching needs.
AUD-000044,REQ-0001,TAL-0183,2026-07-07,Live Video,76.5,99.9,64.9,95.1,84.97,Pass,Strong fit for the production vocabulary.
AUD-000045,REQ-0001,TAL-0264,2026-07-08,Live Video,62.3,93.0,95.9,87.6,82.33,Pass,Strong fit for the production vocabulary.
